iso;name;Capital;Area;population;Continent;currency_code;currency_name
AD;Andorra;Andorra la Vella ;4680;77006;EU;EUR;Euro
AE;United Arab Emirates;AbuDhabi;82880;959;AS;AED;Dirham
AF;Afghanistan;Kabul;64750037;386;AS;AFN;Afghani
AG;Antigua and Barbuda;St.John's;443;96286;NA;XCD;Dollar
AI;Anguilla;The Valley;1020;13254;NA;XCD;Dollar
AL;Albania;Tirana;28748;866376;EU;ALL;Lek
CA;Canada;Ottawa;99846700;37058856;NA;CAD;Dollar
CN;China;Beijing;9596960.0;1.392730;AS;CNY;Yuan
FR;France;Paris;547030.0;66987244;EU;EUR;Euro
KR;South Korea;Seoul;98480.0;51.635.256;AS;KRW,Won
LS;Lesotho;Maseru;303550;2108132;AF;LSL;Loti
