n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj;source
;;MOBIVE;FR-S64-E64024-001;Parking Izadia;25 allée du Val Fleuri, Anglet;64024;-1.5155546844999312;43.48207100351876;1;FR-S64-E64024-001-1;18;Type 2 et prise domestique;;;;2019/05/07;https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52
;;MOBIVE;FR-S64-E64024-006;Parking Quintaou;1 allée de Quintaou, Anglet;64024;-1.5127680638813583;43.48396450961844;1;FR-S64-E64024-006-1;18;Type 2 et prise domestique;;;;2019/05/07;https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52
;;MOBIVE;FR-S64-E64024-006;Parking Quintaou;1 allée de Quintaou, Anglet;64024;-1.5155350093243256;43.482063522899054;1;FR-S64-E64024-006-2;18;Type 2 et prise domestique;;;;2019/05/07;https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52
;;MOBIVE;FR-S64-E64024-003;Parking des Dauphins;Place des Docteurs Gentilhe, Anglet;64024;-1.520945392076356;43.52670810565958;1;FR-S64-E64024-003-1;18;Type 2 et prise domestique;;;;2019/05/07;https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52
;;MOBIVE;FR-S64-E64024-003;Parking des Dauphins;Place des Docteurs Gentilhe, Anglet;64024;-1.5124430186266826;43.49989725773917;1;FR-S64-E64024-003-2;18;Type 2 et prise domestique;;;;2019/05/07;https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52
ASL AREA Englos;DRIVECO;ASL AREA Englos;FR*SSD*PASLAREAENGLOS59320*1;ASL AREA Englos;Impasse de la Bertha 59320 Englos;59195;2.962170;50.624699;2;FR*SSD*E10335*P1;22.08;EF, T2;Payant;24/24 7/7 jours;;2021/01/12;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-a09a261f-5c6f-4739-9a0a-5f41d73718d6
ASL AREA Englos;DRIVECO;ASL AREA Englos;FR*SSD*PASLAREAENGLOS59320*1;ASL AREA Englos;Impasse de la Bertha 59320 Englos;59195;2.962170;50.624699;2;FR*SSD*E10335*P2;22.08;T2;Payant;24/24 7/7 jours;;2021/01/12;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-a09a261f-5c6f-4739-9a0a-5f41d73718d6
AVRANCHES;FR*S50;e-charge50;FR*S50*P50025*002;AVRANCHES - Place Carnot;15 place Carnot 50300 AVRANCHES;50025;-1.3652981;48.6847424;2;FR*S50*E50025*002*2;22;T3-EF;payant;24h/24 7j/7;Service accessible<br>- aux abonnÃ©s disposant dun badge de mobilitÃ© Ã©lectrique<br>- aux non abonnÃ©s disposant d'une carte bancaire, via le site www.e-charge50.fr<br>Informations disponibles sur le site www.e-charge50.fr';2020/12/01;https://www.data.gouv.fr/fr/datasets/e-charge50/#resource-a22f7243-998a-4e8d-8322-b428040a4223
AVRANCHES;FR*S50;e-charge50;FR*S50*P50025*003;AVRANCHES - Place Valhubert;2 rue du Général de Gaulle 50300 AVRANCHES;50025;-1.3632336;48.6867883;2;FR*S50*E50025*003*1;22;T2-EF;payant;24h/24 7j/7;Service accessible<br>- aux abonnÃ©s disposant dun badge de mobilitÃ© Ã©lectrique<br>- aux non abonnÃ©s disposant d'une carte bancaire, via le site www.e-charge50.fr<br>Informations disponibles sur le site www.e-charge50.fr';2020/12/01;https://www.data.gouv.fr/fr/datasets/e-charge50/#resource-a22f7243-998a-4e8d-8322-b428040a4223
AVRANCHES;FR*S50;e-charge50;FR*S50*P50025*002;AVRANCHES - Place Carnot;15 place Carnot 50300 AVRANCHES;50025;-1.3652981;48.6847424;2;FR*S50*E50025*002*1;22;T2-EF;payant;24h/24 7j/7;Service accessible<br>- aux abonnÃ©s disposant dun badge de mobilitÃ© Ã©lectrique<br>- aux non abonnÃ©s disposant d'une carte bancaire, via le site www.e-charge50.fr<br>Informations disponibles sur le site www.e-charge50.fr';2020/12/01;https://www.data.gouv.fr/fr/datasets/e-charge50/#resource-a22f7243-998a-4e8d-8322-b428040a4223
