auteur;titre;genre;date
Baudelaire;les fleurs du mal;poésie;1857
Baudelaire;les fanfarlo;nouvelle;1847
Dostoievski;les frères karamazov;roman;1880
Dostoievski;les démons;roman;1871
Sand george;Indiana;roman;1832
Sand george;La mare au diable;roman;1846
Flaubert Gustave;madame Bauvary;roman;1856
Faubert Gustave;l'éducation sentimentale;roman;1869
Verlaine Paul;Romances sans paroles;poésie;1874
Chateaubriand;mémoires d'outre tombe;autobiographie;1848
Hugo Victor;les misérables;roman;1862
Proust marcel;Du coté de chez swann;roman;1913
Apollinaire Guillaume;alcools;poésie;1913
Appolinaire Guillaume;Calligrammes;poésie;1918
Moliere;le médecin malgré lui;théâtre;1666
Moliere;l'avare;théâtre;1668
Moliere;le tartuffe;théâtre;1664
Hugo Victor;les contemplations;poésie;1831
Alfred de Musset;la nuit vénitienne;théâtre;1830
